Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 2492
Features na validação:   20
Amostras de validação:   339

[Run 272/1000] Treinando... F1-base = 77.1242% | Acc = 89.6755%
[Run 273/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 274/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 275/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 276/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 277/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 278/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 279/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 280/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 281/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 282/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 283/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 284/1000] Treinando... F1-base = 72.3684% | Acc = 87.6106%
[Run 285/1000] Treinando... F1-base = 77.1242% | Acc = 89.6755%
[Run 286/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 287/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 288/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 289/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 290/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 291/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 292/1000] Treinando... F1-base = 77.6316% | Acc = 89.9705%
[Run 293/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 294/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 295/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 296/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 297/1000] Treinando... F1-base = 77.6316% | Acc = 89.9705%
[Run 298/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 299/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 300/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 301/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 302/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 303/1000] Treinando... F1-base = 77.1242% | Acc = 89.6755%
[Run 304/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 305/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 306/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 307/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 308/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 309/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 310/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 311/1000] Treinando... F1-base = 77.6316% | Acc = 89.9705%
[Run 312/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 313/1000] Treinando... F1-base = 77.4194% | Acc = 89.6755%
[Run 314/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 315/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 316/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 317/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 318/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 319/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 320/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 321/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 322/1000] Treinando... F1-base = 72.973% | Acc = 88.2006%
[Run 323/1000] Treinando... F1-base = 77.6316% | Acc = 89.9705%
[Run 324/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 325/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 326/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 327/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 328/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 329/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 330/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 331/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 332/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 333/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 334/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 335/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 336/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 337/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 338/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 339/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 340/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
[Run 341/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 342/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 343/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 344/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 345/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 346/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 347/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
[Run 348/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 349/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 350/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 351/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 352/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 353/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 354/1000] Treinando... F1-base = 77.1242% | Acc = 89.6755%
[Run 355/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 356/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 357/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 358/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 359/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 360/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 361/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 362/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 363/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 364/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 365/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 366/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 367/1000] Treinando... F1-base = 75.3247% | Acc = 88.7906%
[Run 368/1000] Treinando... F1-base = 75% | Acc = 88.7906%
[Run 369/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 370/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 371/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 372/1000] Treinando... F1-base = 75.817% | Acc = 89.0855%
[Run 373/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 374/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
